received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-06-25T08:21:15.176369952Z	eui-2cf7f1205100b754	8		{'bat1': 4, 'bat2': 3, 'co2': 514, 'humi': 74, 'methane': 388, 'temp': 17, 'unix': 1750846851}	-92		1.646592s
2025-06-25T08:30:00.968266654Z	eui-2cf7f1205100b754	8	1	{'bat1': 4, 'bat2': 4, 'co2': 507, 'humi': 69, 'methane': 247, 'temp': 20, 'unix': 1750847379}	-89		0.077056s
2025-06-25T18:20:55.482285557Z	eui-2cf7f1205100b754	8	8	{'bat1': 4, 'bat2': 4, 'co2': 510, 'humi': 75, 'methane': 462, 'temp': 23, 'unix': 1750882831}	-108		1.646592s
2025-06-25T20:21:15.134673803Z	eui-2cf7f1205100b754	8	9	{'bat1': 4, 'bat2': 4, 'co2': 533, 'humi': 77, 'methane': 472, 'temp': 21, 'unix': 1750890052}	-100		0.452608s
2025-06-25T20:29:58.963162162Z	eui-2cf7f1205100b754	8	10	{'bat1': 4, 'bat2': 4, 'co2': 515, 'humi': 75, 'methane': 209, 'temp': 20, 'unix': 1750890576}	-101		0.071936s
2025-06-25T22:20:16.360257196Z	eui-2cf7f1205100b754	8	11	{'bat1': 4, 'bat2': 3, 'co2': 521, 'humi': 77, 'methane': 284, 'temp': 20, 'unix': 1750897194}	-102		0.066816s
2025-06-26T00:20:34.238387725Z	eui-2cf7f1205100b754	8	12	{'bat1': 4, 'bat2': 3, 'co2': 547, 'humi': 76, 'methane': 308, 'temp': 20, 'unix': 1750904412}	-105		0.066816s
2025-06-26T00:29:19.943849837Z	eui-2cf7f1205100b754	8	13	{'bat1': 4, 'bat2': 3, 'co2': 553, 'humi': 77, 'methane': 199, 'temp': 19, 'unix': 1750904937}	-101		0.066816s
2025-06-26T02:19:37.923333887Z	eui-2cf7f1205100b754	8	14	{'bat1': 4, 'bat2': 3, 'co2': 586, 'humi': 77, 'methane': 259, 'temp': 19, 'unix': 1750911555}	-102		0.066816s
2025-06-26T04:19:56.590384622Z	eui-2cf7f1205100b754	8	15	{'bat1': 4, 'bat2': 3, 'co2': 663, 'humi': 77, 'methane': 310, 'temp': 21, 'unix': 1750918774}	-107		0.066816s
2025-06-26T04:28:54.535320266Z	eui-2cf7f1205100b754	8	16	{'bat1': 4, 'bat2': 3, 'co2': 515, 'humi': 78, 'methane': 212, 'temp': 22, 'unix': 1750919312}	-108		0.123392s
2025-06-26T06:19:11.526663335Z	eui-2cf7f1205100b754	8	17	{'bat1': 4, 'bat2': 3, 'co2': 651, 'humi': 77, 'methane': 328, 'temp': 23, 'unix': 1750925929}	-102		0.123392s
2025-06-26T08:19:31.159539407Z	eui-2cf7f1205100b754	8	18	{'bat1': 4, 'bat2': 4, 'co2': 606, 'humi': 76, 'methane': 410, 'temp': 26, 'unix': 1750933148}	-104		0.123392s
2025-06-26T08:28:23.523638274Z	eui-2cf7f1205100b754	8	19	{'bat1': 4, 'bat2': 4, 'co2': 494, 'humi': 74, 'methane': 230, 'temp': 25, 'unix': 1750933673}	-111		0.123392s
2025-06-26T12:19:25.187863387Z	eui-2cf7f1205100b754	8	21	{'bat1': 4, 'bat2': 4, 'co2': 477, 'humi': 77, 'methane': 507, 'temp': 23, 'unix': 1750947542}	-97		0.411648s
2025-06-26T12:28:07.826923923Z	eui-2cf7f1205100b754	8	22	{'bat1': 4, 'bat2': 4, 'co2': 501, 'humi': 76, 'methane': 219, 'temp': 23, 'unix': 1750948065}	-106		0.133632s
2025-06-26T14:18:25.919606750Z	eui-2cf7f1205100b754	8	23	{'bat1': 4, 'bat2': 4, 'co2': 492, 'humi': 77, 'methane': 310, 'temp': 23, 'unix': 1750954683}	-105		0.123392s
2025-06-26T16:19:01.129798909Z	eui-2cf7f1205100b754	8	24	{'bat1': 4, 'bat2': 4, 'co2': 484, 'humi': 78, 'methane': 501, 'temp': 22, 'unix': 1750961918}	-111		0.226304s
2025-06-26T16:27:58.208385110Z	eui-2cf7f1205100b754	8	25	{'bat1': 4, 'bat2': 4, 'co2': 502, 'humi': 77, 'methane': 217, 'temp': 22, 'unix': 1750962455}	-111		0.411648s
2025-06-26T18:18:32.642246529Z	eui-2cf7f1205100b754	8	26	{'bat1': 4, 'bat2': 4, 'co2': 485, 'humi': 78, 'methane': 471, 'temp': 22, 'unix': 1750969090}	-109		0.452608s
2025-06-26T20:19:09.281214703Z	eui-2cf7f1205100b754	8	27	{'bat1': 4, 'bat2': 3, 'co2': 472, 'humi': 78, 'methane': 489, 'temp': 22, 'unix': 1750976326}	-99		0.905216s
2025-06-26T20:27:55.348887056Z	eui-2cf7f1205100b754	8	28	{'bat1': 4, 'bat2': 3, 'co2': 514, 'humi': 77, 'methane': 213, 'temp': 21, 'unix': 1750976852}	-101		0.133632s
2025-06-26T22:18:14.157507164Z	eui-2cf7f1205100b754	8	29	{'bat1': 4, 'bat2': 3, 'co2': 520, 'humi': 78, 'methane': 288, 'temp': 22, 'unix': 1750983471}	-99		0.071936s
2025-06-27T00:18:32.097639629Z	eui-2cf7f1205100b754	8	30	{'bat1': 4, 'bat2': 3, 'co2': 570, 'humi': 78, 'methane': 369, 'temp': 22, 'unix': 1750990689}	-102		0.066816s
2025-06-27T00:27:17.685518771Z	eui-2cf7f1205100b754	8	31	{'bat1': 4, 'bat2': 3, 'co2': 529, 'humi': 77, 'methane': 207, 'temp': 21, 'unix': 1750991214}	-98		0.066816s
2025-06-27T02:17:34.994864902Z	eui-2cf7f1205100b754	8	32	{'bat1': 4, 'bat2': 3, 'co2': 623, 'humi': 77, 'methane': 307, 'temp': 22, 'unix': 1750997832}	-103		0.066816s
2025-06-27T04:17:54.448705183Z	eui-2cf7f1205100b754	8	33	{'bat1': 4, 'bat2': 3, 'co2': 735, 'humi': 77, 'methane': 375, 'temp': 22, 'unix': 1751005052}	-108		0.066816s
2025-06-27T04:26:39.554684309Z	eui-2cf7f1205100b754	8	34	{'bat1': 4, 'bat2': 3, 'co2': 510, 'humi': 76, 'methane': 208, 'temp': 22, 'unix': 1751005577}	-106		0.066816s
2025-06-27T06:16:57.540618578Z	eui-2cf7f1205100b754	8	35	{'bat1': 4, 'bat2': 3, 'co2': 700, 'humi': 76, 'methane': 318, 'temp': 22, 'unix': 1751012195}	-107		0.066816s
2025-06-27T08:17:31.275853996Z	eui-2cf7f1205100b754	8	36	{'bat1': 4, 'bat2': 3, 'co2': 708, 'humi': 80, 'methane': 399, 'temp': 24, 'unix': 1751019428}	-111		0.123392s
2025-06-27T08:26:16.320149865Z	eui-2cf7f1205100b754	8	37	{'bat1': 4, 'bat2': 3, 'co2': 500, 'humi': 78, 'methane': 232, 'temp': 24, 'unix': 1751019953}	-110		0.123392s
2025-06-27T10:16:35.294740400Z	eui-2cf7f1205100b754	8	38	{'bat1': 4, 'bat2': 4, 'co2': 599, 'humi': 76, 'methane': 372, 'temp': 28, 'unix': 1751026572}	-108		0.123392s
2025-06-27T20:17:26.185382843Z	eui-2cf7f1205100b754	8	45	{'bat1': 4, 'bat2': 4, 'co2': 486, 'humi': 78, 'methane': 452, 'temp': 22, 'unix': 1751062621}	-100		1.646592s
2025-06-27T22:16:47.498263430Z	eui-2cf7f1205100b754	8	47	{'bat1': 4, 'bat2': 3, 'co2': 559, 'humi': 78, 'methane': 310, 'temp': 21, 'unix': 1751069784}	-112		0.226304s
2025-06-28T00:17:05.908134233Z	eui-2cf7f1205100b754	8	48	{'bat1': 4, 'bat2': 3, 'co2': 565, 'humi': 78, 'methane': 347, 'temp': 21, 'unix': 1751077003}	-105		0.246784s
2025-06-28T00:25:50.087076310Z	eui-2cf7f1205100b754	8	49	{'bat1': 4, 'bat2': 3, 'co2': 524, 'humi': 76, 'methane': 207, 'temp': 21, 'unix': 1751077527}	-104		0.133632s
