received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-14T00:44:21.704419896Z	eui-70b3d57ed005a0a6	120		{'CH4': 552, 'co2': 339, 'rh': 91.6, 'temp': 5.8, 'unix': 1741916653}	-74		0.205824s
2025-03-14T02:44:20.223091578Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 558, 'co2': 336, 'rh': 81.8, 'temp': 8.3, 'unix': 1741923847}	-72		0.066816s
2025-03-14T04:44:18.883623649Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 545, 'co2': 277, 'rh': 81.8, 'temp': 7.5, 'unix': 1741931046}	-72		0.061696s
2025-03-14T06:44:17.576892133Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 553, 'co2': 245, 'rh': 82.9, 'temp': 7.7, 'unix': 1741938247}	-72		0.061696s
2025-03-14T08:44:16.249150993Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 615, 'co2': 216, 'rh': 82.3, 'temp': 12.7, 'unix': 1741945444}	-74		0.061696s
2025-03-14T10:44:15.176977271Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 556, 'co2': 503, 'rh': 72.7, 'temp': 13.4, 'unix': 1741952642}	-72		0.061696s
2025-03-14T12:44:13.459357177Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 626, 'co2': 404, 'rh': 83.6, 'temp': 15.2, 'unix': 1741959841}	-71		0.061696s
2025-03-14T14:44:12.064223377Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 552, 'co2': 521, 'rh': 73.5, 'temp': 11.9, 'unix': 1741967039}	-69		0.061696s
2025-03-14T16:44:10.682767102Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 570, 'co2': 386, 'rh': 80.6, 'temp': 10.9, 'unix': 1741974238}	-72		0.066816s
2025-03-14T18:44:09.328052422Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 526, 'co2': 538, 'rh': 79.5, 'temp': 7.9, 'unix': 1741981436}	-72		0.061696s
2025-03-14T20:44:08.017092422Z	eui-70b3d57ed005a0a6	120	10	{'CH4': 541, 'co2': 408, 'rh': 82.1, 'temp': 7.9, 'unix': 1741988636}	-73		0.061696s
2025-03-14T22:44:06.706366113Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 538, 'co2': 319, 'rh': 82, 'temp': 7.1, 'unix': 1741995834}	-71		0.061696s
2025-03-15T00:44:50.980807796Z	eui-70b3d57ed005a0a6	120		{'CH4': 517, 'co2': 221, 'rh': 93.3, 'temp': 4, 'unix': 1742003082}	-76		0.205824s
2025-03-15T02:44:49.556802043Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 537, 'co2': 225, 'rh': 83.2, 'temp': 6.3, 'unix': 1742010277}	-72		0.066816s
2025-03-15T04:44:48.257751943Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 524, 'co2': 189, 'rh': 82.7, 'temp': 5.6, 'unix': 1742017474}	-71		0.061696s
2025-03-15T06:44:46.988183519Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 535, 'co2': 166, 'rh': 83.4, 'temp': 5.8, 'unix': 1742024675}	-74		0.061696s
2025-03-15T08:44:45.684384862Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 638, 'co2': 159, 'rh': 83.4, 'temp': 15, 'unix': 1742031872}	-70		0.061696s
2025-03-15T10:44:44.328761068Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 582, 'co2': 508, 'rh': 78.7, 'temp': 15.5, 'unix': 1742039073}	-70		0.061696s
2025-03-15T12:44:42.949671843Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 620, 'co2': 397, 'rh': 81.1, 'temp': 15.3, 'unix': 1742046270}	-70		0.061696s
2025-03-15T14:44:41.583344448Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 563, 'co2': 520, 'rh': 75.4, 'temp': 13.3, 'unix': 1742053471}	-71		0.061696s
2025-03-15T16:44:40.226237966Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 587, 'co2': 389, 'rh': 80.8, 'temp': 11.8, 'unix': 1742060667}	-70		0.061696s
2025-03-15T18:44:38.876168744Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 539, 'co2': 528, 'rh': 80.6, 'temp': 9.1, 'unix': 1742067867}	-69		0.066816s
2025-03-15T20:44:37.570400271Z	eui-70b3d57ed005a0a6	120	10	{'CH4': 560, 'co2': 402, 'rh': 81.8, 'temp': 9.2, 'unix': 1742075068}	-74		0.061696s
2025-03-15T22:44:36.288842755Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 557, 'co2': 522, 'rh': 81.7, 'temp': 8.4, 'unix': 1742082264}	-72		0.061696s
2025-03-16T00:44:21.129952401Z	eui-70b3d57ed005a0a6	120		{'CH4': 554, 'co2': 349, 'rh': 91.7, 'temp': 6.5, 'unix': 1742089452}	-73		0.205824s
2025-03-16T02:44:19.647886344Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 562, 'co2': 515, 'rh': 80.3, 'temp': 9.1, 'unix': 1742096647}	-71		0.066816s
2025-03-16T04:44:18.289562099Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 558, 'co2': 395, 'rh': 81.6, 'temp': 10.2, 'unix': 1742103848}	-70		0.061696s
2025-03-16T06:44:16.943495684Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 569, 'co2': 516, 'rh': 80.4, 'temp': 9.9, 'unix': 1742111044}	-71		0.061696s
2025-03-16T08:44:15.715954047Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 640, 'co2': 387, 'rh': 83.2, 'temp': 15.8, 'unix': 1742118246}	-71		0.061696s
2025-03-16T12:44:12.990570397Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 672, 'co2': 386, 'rh': 80.3, 'temp': 19.5, 'unix': 1742132644}	-73		0.061696s
2025-03-16T16:44:10.269844870Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 588, 'co2': 391, 'rh': 80.5, 'temp': 11.8, 'unix': 1742147042}	-72		0.061696s
2025-03-16T18:44:08.940005127Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 545, 'co2': 527, 'rh': 78.3, 'temp': 9.4, 'unix': 1742154238}	-70		0.061696s
2025-03-16T22:44:06.357091075Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 544, 'co2': 501, 'rh': 82.9, 'temp': 8.2, 'unix': 1742168637}	-71		0.061696s
2025-03-17T00:44:02.339100233Z	eui-70b3d57ed005a0a6	120		{'CH4': 547, 'co2': 339, 'rh': 94.5, 'temp': 5.2, 'unix': 1742175833}	-73		0.205824s
2025-03-17T02:44:00.981499819Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 538, 'co2': 307, 'rh': 83.7, 'temp': 7.2, 'unix': 1742183029}	-70		0.123392s
2025-03-17T06:43:58.381376150Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 542, 'co2': 208, 'rh': 83.7, 'temp': 6.7, 'unix': 1742197428}	-73		0.061696s
2025-03-17T08:43:57.084276625Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 649, 'co2': 184, 'rh': 83.8, 'temp': 16.2, 'unix': 1742204625}	-68		0.061696s
2025-03-17T10:31:14.640401949Z	eui-70b3d57ed005a0a6	120		{'CH4': 601, 'co2': 115, 'rh': 91, 'temp': 14.2, 'unix': 1742211065}	-72		0.205824s
2025-03-17T12:31:13.170141135Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 646, 'co2': 408, 'rh': 80.7, 'temp': 17.9, 'unix': 1742218260}	-68		0.123392s
2025-03-17T14:31:11.872998804Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 597, 'co2': 316, 'rh': 76.6, 'temp': 15.1, 'unix': 1742225462}	-67		0.113152s
2025-03-17T18:31:09.068616953Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 558, 'co2': 297, 'rh': 82.5, 'temp': 9.5, 'unix': 1742239860}	-67		0.061696s
2025-03-17T20:31:07.726719381Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 557, 'co2': 394, 'rh': 82.3, 'temp': 8.9, 'unix': 1742247055}	-70		0.061696s
2025-03-18T00:31:05.061138794Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 553, 'co2': 398, 'rh': 82.2, 'temp': 8.8, 'unix': 1742261455}	-70		0.061696s
2025-03-18T00:44:06.548726747Z	eui-70b3d57ed005a0a6	120		{'CH4': 544, 'co2': 338, 'rh': 93.1, 'temp': 6.2, 'unix': 1742262238}	-71		0.205824s
2025-03-18T02:44:05.112913102Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 546, 'co2': 517, 'rh': 80.5, 'temp': 8.4, 'unix': 1742269432}	-68		0.066816s
2025-03-18T04:44:03.789182422Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 552, 'co2': 388, 'rh': 82, 'temp': 9.8, 'unix': 1742276630}	-69		0.066816s
2025-03-18T06:44:02.445527035Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 557, 'co2': 512, 'rh': 78.7, 'temp': 9.6, 'unix': 1742283830}	-70		0.061696s
