received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-14T02:33:21.611057048Z	eui-70b3d57ed005aab3	124	42	{'state': 0, 'unix': 1741923193}	-77		0.051456s
2025-03-14T02:43:21.899046894Z	eui-70b3d57ed005aab3	124	43	{'state': 1, 'unix': 1741923793}	-93		0.051456s
2025-03-14T06:33:22.194971658Z	eui-70b3d57ed005aab3	124	44	{'state': 0, 'unix': 1741937593}	-80		0.051456s
2025-03-14T06:43:22.193736853Z	eui-70b3d57ed005aab3	124	45	{'state': 1, 'unix': 1741938193}	-82		0.051456s
2025-03-14T10:33:22.192044482Z	eui-70b3d57ed005aab3	124	46	{'state': 0, 'unix': 1741951993}	-77		0.051456s
2025-03-14T10:43:21.688314246Z	eui-70b3d57ed005aab3	124	47	{'state': 1, 'unix': 1741952593}	-78		0.051456s
2025-03-14T14:33:21.599188749Z	eui-70b3d57ed005aab3	124	48	{'state': 0, 'unix': 1741966393}	-80		0.051456s
2025-03-14T14:43:21.570956156Z	eui-70b3d57ed005aab3	124	49	{'state': 1, 'unix': 1741966993}	-76		0.051456s
2025-03-14T18:33:21.584819685Z	eui-70b3d57ed005aab3	124	50	{'state': 0, 'unix': 1741980793}	-84		0.056576s
2025-03-14T18:43:22.086953426Z	eui-70b3d57ed005aab3	124	51	{'state': 1, 'unix': 1741981393}	-83		0.051456s
2025-03-14T22:33:22.281931845Z	eui-70b3d57ed005aab3	124	52	{'state': 0, 'unix': 1741995193}	-85		0.051456s
2025-03-14T22:43:21.836811748Z	eui-70b3d57ed005aab3	124	53	{'state': 1, 'unix': 1741995793}	-79		0.056576s
2025-03-15T02:33:21.900203505Z	eui-70b3d57ed005aab3	124	54	{'state': 0, 'unix': 1742009593}	-86		0.051456s
2025-03-15T02:43:21.931338060Z	eui-70b3d57ed005aab3	124	55	{'state': 1, 'unix': 1742010193}	-77		0.051456s
2025-03-15T06:33:22.693809495Z	eui-70b3d57ed005aab3	124	56	{'state': 0, 'unix': 1742023993}	-77		0.051456s
2025-03-15T06:43:22.734214909Z	eui-70b3d57ed005aab3	124	57	{'state': 1, 'unix': 1742024593}	-85		0.051456s
2025-03-15T10:33:22.155478509Z	eui-70b3d57ed005aab3	124	58	{'state': 0, 'unix': 1742038393}	-84		0.051456s
2025-03-15T10:43:22.140650490Z	eui-70b3d57ed005aab3	124	59	{'state': 1, 'unix': 1742038993}	-81		0.051456s
2025-03-15T14:33:22.024374773Z	eui-70b3d57ed005aab3	124	60	{'state': 0, 'unix': 1742052793}	-75		0.051456s
2025-03-15T14:43:21.995419010Z	eui-70b3d57ed005aab3	124	61	{'state': 1, 'unix': 1742053393}	-79		0.051456s
2025-03-15T18:33:21.925671827Z	eui-70b3d57ed005aab3	124	62	{'state': 0, 'unix': 1742067193}	-86		0.051456s
2025-03-15T18:43:21.924877072Z	eui-70b3d57ed005aab3	124	63	{'state': 1, 'unix': 1742067793}	-85		0.056576s
2025-03-15T22:43:22.541416492Z	eui-70b3d57ed005aab3	124	65	{'state': 1, 'unix': 1742082193}	-83		0.051456s
2025-03-16T02:33:21.991719222Z	eui-70b3d57ed005aab3	124	66	{'state': 0, 'unix': 1742095993}	-82		0.051456s
2025-03-16T02:43:21.960914637Z	eui-70b3d57ed005aab3	124	67	{'state': 1, 'unix': 1742096593}	-83		0.051456s
2025-03-16T06:33:21.933515922Z	eui-70b3d57ed005aab3	124	68	{'state': 0, 'unix': 1742110393}	-86		0.051456s
2025-03-16T06:43:21.914075451Z	eui-70b3d57ed005aab3	124	69	{'state': 1, 'unix': 1742110993}	-80		0.051456s
2025-03-16T10:33:21.824351158Z	eui-70b3d57ed005aab3	124	70	{'state': 0, 'unix': 1742124793}	-80		0.051456s
2025-03-16T10:43:21.809249746Z	eui-70b3d57ed005aab3	124	71	{'state': 1, 'unix': 1742125393}	-74		0.051456s
2025-03-16T14:33:21.655126512Z	eui-70b3d57ed005aab3	124	72	{'state': 0, 'unix': 1742139193}	-76		0.051456s
2025-03-16T14:43:22.207668371Z	eui-70b3d57ed005aab3	124	73	{'state': 1, 'unix': 1742139793}	-85		0.051456s
2025-03-16T18:33:21.577653081Z	eui-70b3d57ed005aab3	124	74	{'state': 0, 'unix': 1742153593}	-82		0.056576s
2025-03-16T18:43:21.551158796Z	eui-70b3d57ed005aab3	124	75	{'state': 1, 'unix': 1742154193}	-89		0.051456s
2025-03-16T22:33:21.645655874Z	eui-70b3d57ed005aab3	124	76	{'state': 0, 'unix': 1742167993}	-95		0.056576s
2025-03-16T22:43:21.624981528Z	eui-70b3d57ed005aab3	124	77	{'state': 1, 'unix': 1742168593}	-92		0.051456s
2025-03-17T02:33:21.786453791Z	eui-70b3d57ed005aab3	124	78	{'state': 0, 'unix': 1742182393}	-80		0.051456s
2025-03-17T02:43:21.777091849Z	eui-70b3d57ed005aab3	124	79	{'state': 1, 'unix': 1742182993}	-78		0.051456s
2025-03-17T06:33:21.979070796Z	eui-70b3d57ed005aab3	124	80	{'state': 0, 'unix': 1742196793}	-78		0.051456s
2025-03-17T06:43:21.965010573Z	eui-70b3d57ed005aab3	124	81	{'state': 1, 'unix': 1742197393}	-83		0.051456s
2025-03-17T10:43:21.986757304Z	eui-70b3d57ed005aab3	124	83	{'state': 1, 'unix': 1742211793}	-91		0.051456s
2025-03-17T14:33:21.862028484Z	eui-70b3d57ed005aab3	124	84	{'state': 0, 'unix': 1742225593}	-85		0.051456s
2025-03-17T14:43:21.828107083Z	eui-70b3d57ed005aab3	124	85	{'state': 1, 'unix': 1742226193}	-84		0.051456s
2025-03-17T22:33:21.848770379Z	eui-70b3d57ed005aab3	124	88	{'state': 0, 'unix': 1742254393}	-83		0.051456s
2025-03-17T22:43:21.843671081Z	eui-70b3d57ed005aab3	124	89	{'state': 1, 'unix': 1742254993}	-99		0.061696s
2025-03-18T02:33:21.890807773Z	eui-70b3d57ed005aab3	124	90	{'state': 0, 'unix': 1742268793}	-82		0.056576s
2025-03-18T02:43:21.888800546Z	eui-70b3d57ed005aab3	124	91	{'state': 1, 'unix': 1742269393}	-79		0.051456s
2025-03-18T06:33:21.888999676Z	eui-70b3d57ed005aab3	124	92	{'state': 0, 'unix': 1742283193}	-93		0.051456s
2025-03-18T06:43:21.863401341Z	eui-70b3d57ed005aab3	124	93	{'state': 1, 'unix': 1742283793}	-91		0.051456s
2025-03-18T10:33:21.801722359Z	eui-70b3d57ed005aab3	124	94	{'state': 0, 'unix': 1742297593}	-85		0.051456s
2025-03-18T10:43:21.791005452Z	eui-70b3d57ed005aab3	124	95	{'state': 1, 'unix': 1742298193}	-78		0.056576s
2025-03-18T14:33:21.694046445Z	eui-70b3d57ed005aab3	124	96	{'state': 0, 'unix': 1742311993}	-84		0.051456s
2025-03-18T14:43:21.665293828Z	eui-70b3d57ed005aab3	124	97	{'state': 1, 'unix': 1742312593}	-83		0.051456s
2025-03-18T18:33:21.604585855Z	eui-70b3d57ed005aab3	124	98	{'state': 0, 'unix': 1742326393}	-86		0.051456s
2025-03-18T18:43:21.587845928Z	eui-70b3d57ed005aab3	124	99	{'state': 1, 'unix': 1742326993}	-83		0.051456s
2025-03-18T22:33:21.581112422Z	eui-70b3d57ed005aab3	124	100	{'state': 0, 'unix': 1742340793}	-81		0.051456s
2025-03-18T22:43:21.551808818Z	eui-70b3d57ed005aab3	124	101	{'state': 1, 'unix': 1742341393}	-86		0.051456s
2025-03-19T06:33:21.575796358Z	eui-70b3d57ed005aab3	124	104	{'state': 0, 'unix': 1742369593}	-84		0.051456s
2025-03-19T06:43:21.976249251Z	eui-70b3d57ed005aab3	124	105	{'state': 1, 'unix': 1742370193}	-90		0.056576s
2025-03-19T10:33:21.377160462Z	eui-70b3d57ed005aab3	124	106	{'state': 0, 'unix': 1742383993}	-88		0.051456s
2025-03-19T10:43:21.383787286Z	eui-70b3d57ed005aab3	124	107	{'state': 1, 'unix': 1742384593}	-85		0.056576s
2025-03-19T14:33:21.182150986Z	eui-70b3d57ed005aab3	124	108	{'state': 0, 'unix': 1742398393}	-76		0.051456s
2025-03-19T14:43:21.773313066Z	eui-70b3d57ed005aab3	124	109	{'state': 1, 'unix': 1742398993}	-80		0.051456s
2025-03-19T18:33:21.066362242Z	eui-70b3d57ed005aab3	124	110	{'state': 0, 'unix': 1742412793}	-85		0.051456s
2025-03-19T18:43:21.054087235Z	eui-70b3d57ed005aab3	124	111	{'state': 1, 'unix': 1742413393}	-82		0.051456s
2025-03-19T22:33:21.349276488Z	eui-70b3d57ed005aab3	124	112	{'state': 0, 'unix': 1742427193}	-84		0.056576s
2025-03-19T22:43:21.762722048Z	eui-70b3d57ed005aab3	124	113	{'state': 1, 'unix': 1742427793}	-93		0.051456s
