received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-14T05:54:52.271316410Z	eui-70b3d57ed00597a6	109	1	{'CH4': 523, 'co2': 267, 'rh': 67.3, 'temp': 7.5, 'unix': 1741934527}	-78		0.066816s
2025-03-14T11:54:48.357434868Z	eui-70b3d57ed00597a6	109	2	{'CH4': 622, 'co2': 362, 'rh': 62.9, 'temp': 18.6, 'unix': 1741956123}	-79		0.061696s
2025-03-14T17:54:44.342560688Z	eui-70b3d57ed00597a6	109	3	{'CH4': 536, 'co2': 240, 'rh': 66.5, 'temp': 10.1, 'unix': 1741977718}	-79		0.061696s
2025-03-14T23:54:53.797951808Z	eui-70b3d57ed00597a6	109		{'CH4': 418, 'co2': 350, 'rh': 88.2, 'temp': 2.2, 'unix': 1741998597}	-84		0.205824s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-14T05:54:52.271316410Z	eui-70b3d57ed00597a6	109	1	{'CH4': 523, 'co2': 267, 'rh': 67.3, 'temp': 7.5, 'unix': 1741934527}	-78		0.066816s
2025-03-14T11:54:48.357434868Z	eui-70b3d57ed00597a6	109	2	{'CH4': 622, 'co2': 362, 'rh': 62.9, 'temp': 18.6, 'unix': 1741956123}	-79		0.061696s
2025-03-14T17:54:44.342560688Z	eui-70b3d57ed00597a6	109	3	{'CH4': 536, 'co2': 240, 'rh': 66.5, 'temp': 10.1, 'unix': 1741977718}	-79		0.061696s
2025-03-14T23:54:53.797951808Z	eui-70b3d57ed00597a6	109		{'CH4': 418, 'co2': 350, 'rh': 88.2, 'temp': 2.2, 'unix': 1741998597}	-84		0.205824s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
