received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	ID	Temperature	Oxygen_Saturation	Oxygen_mgL	Oxygen_PPM	UnixTime
2025-03-14T00:09:44.057060234Z	lemmingponsel	2	243	-110		0.184832s	Ny4yNTc4LDE1MC4xMSwxOC4yNDIsMTguMjQyLDE3NDE5MTQ1MDc=	X31	372e323537382c3135302e31312c31382e3234322c31382e3234322c31373431393134353037	7.2578	150.11	18.242	18.242	1741914507
2025-03-14T00:29:47.836993067Z	lemmingponsel	2	244	-113		0.184832s	Ny4yMDg0LDE0OS43MCwxOC4yMTQsMTguMjE0LDE3NDE5MTU3MTE=	X31	372e323038342c3134392e37302c31382e3231342c31382e3231342c31373431393135373131	7.2084	149.70	18.214	18.214	1741915711
2025-03-14T00:49:52.163059165Z	lemmingponsel	2	245	-113		0.184832s	Ny4xNzE2LDE0OS41NCwxOC4yMTIsMTguMjEyLDE3NDE5MTY5MTY=	X31	372e313731362c3134392e35342c31382e3231322c31382e3231322c31373431393136393136	7.1716	149.54	18.212	18.212	1741916916
2025-03-14T01:09:56.429342639Z	lemmingponsel	2	246	-114		0.184832s	Ny4xNTQ2LDE0OC41NSwxOC4wOTksMTguMDk5LDE3NDE5MTgxMjA=	X31	372e313534362c3134382e35352c31382e3039392c31382e3039392c31373431393138313230	7.1546	148.55	18.099	18.099	1741918120
2025-03-14T01:30:00.251414505Z	lemmingponsel	2	247	-110		0.184832s	Ny4xMzE2LDE0OC4zNywxOC4wODYsMTguMDg2LDE3NDE5MTkzMjQ=	X31	372e313331362c3134382e33372c31382e3038362c31382e3038362c31373431393139333234	7.1316	148.37	18.086	18.086	1741919324
2025-03-14T01:50:04.632279285Z	lemmingponsel	2	248	-109		0.184832s	Ny4xMjAxLDE0Ny42MywxOC4wMDIsMTguMDAyLDE3NDE5MjA1Mjg=	X31	372e313230312c3134372e36332c31382e3030322c31382e3030322c31373431393230353238	7.1201	147.63	18.002	18.002	1741920528
2025-03-14T02:10:08.913453109Z	lemmingponsel	2	249	-111		0.184832s	Ny4wOTY3LDE0Ni44OCwxNy45MjEsMTcuOTIxLDE3NDE5MjE3MzI=	X31	372e303936372c3134362e38382c31372e3932312c31372e3932312c31373431393231373332	7.0967	146.88	17.921	17.921	1741921732
2025-03-14T02:30:12.771695003Z	lemmingponsel	2	250	-112		0.184832s	Ny4wMzYyLDE0Ni40NSwxNy44OTUsMTcuODk1LDE3NDE5MjI5MzY=	X31	372e303336322c3134362e34352c31372e3839352c31372e3839352c31373431393232393336	7.0362	146.45	17.895	17.895	1741922936
2025-03-14T02:50:17.178607350Z	lemmingponsel	2	251	-113		0.184832s	Ny4wMDU5LDE0NS45NywxNy44NTAsMTcuODUwLDE3NDE5MjQxNDE=	X31	372e303035392c3134352e39372c31372e3835302c31372e3835302c31373431393234313431	7.0059	145.97	17.850	17.850	1741924141
2025-03-14T03:10:21.361475244Z	lemmingponsel	2	252	-110		0.184832s	Ni45NzY3LDE0NS4zNywxNy43OTAsMTcuNzkwLDE3NDE5MjUzNDU=	X31	362e393736372c3134352e33372c31372e3739302c31372e3739302c31373431393235333435	6.9767	145.37	17.790	17.790	1741925345
2025-03-14T03:30:25.187743025Z	lemmingponsel	2	253	-111		0.184832s	Ni45MzQ3LDE0NC44MSwxNy43NDEsMTcuNzQxLDE3NDE5MjY1NDk=	X31	362e393334372c3134342e38312c31372e3734312c31372e3734312c31373431393236353439	6.9347	144.81	17.741	17.741	1741926549
2025-03-14T03:50:29.574128340Z	lemmingponsel	2	254	-111		0.184832s	Ni44NzQ4LDE0NC4xMSwxNy42ODAsMTcuNjgwLDE3NDE5Mjc3NTM=	X31	362e383734382c3134342e31312c31372e3638302c31372e3638302c31373431393237373533	6.8748	144.11	17.680	17.680	1741927753
2025-03-14T04:10:33.878060495Z	lemmingponsel	2	255	-110		0.184832s	Ni44NDUzLDE0My40NiwxNy42MTQsMTcuNjE0LDE3NDE5Mjg5NTc=	X31	362e383435332c3134332e34362c31372e3631342c31372e3631342c31373431393238393537	6.8453	143.46	17.614	17.614	1741928957
2025-03-14T04:30:37.705567813Z	lemmingponsel	2	256	-110		0.184832s	Ni44MjYzLDE0My4yOSwxNy42MDEsMTcuNjAxLDE3NDE5MzAxNjE=	X31	362e383236332c3134332e32392c31372e3630312c31372e3630312c31373431393330313631	6.8263	143.29	17.601	17.601	1741930161
2025-03-14T04:50:42.116761349Z	lemmingponsel	2	257	-110		0.184832s	Ni43Njk2LDE0Mi42NywxNy41NTAsMTcuNTUwLDE3NDE5MzEzNjY=	X31	362e373639362c3134322e36372c31372e3535302c31372e3535302c31373431393331333636	6.7696	142.67	17.550	17.550	1741931366
2025-03-14T05:10:46.383884655Z	lemmingponsel	2	258	-111		0.184832s	Ni43MDQyLDE0Mi4xMSwxNy41MTAsMTcuNTEwLDE3NDE5MzI1NzA=	X31	362e373034322c3134322e31312c31372e3531302c31372e3531302c31373431393332353730	6.7042	142.11	17.510	17.510	1741932570
2025-03-14T05:30:50.247659054Z	lemmingponsel	2	259	-110		0.184832s	Ni42NzU4LDE0MS42MiwxNy40NjMsMTcuNDYzLDE3NDE5MzM3NzQ=	X31	362e363735382c3134312e36322c31372e3436332c31372e3436332c31373431393333373734	6.6758	141.62	17.463	17.463	1741933774
2025-03-14T05:50:54.691504731Z	lemmingponsel	2	260	-110		0.184832s	Ni42MjgyLDE0MS4xMiwxNy40MjIsMTcuNDIyLDE3NDE5MzQ5Nzg=	X31	362e363238322c3134312e31322c31372e3432322c31372e3432322c31373431393334393738	6.6282	141.12	17.422	17.422	1741934978
2025-03-14T06:10:58.995618064Z	lemmingponsel	2	261	-109		0.184832s	Ni41NzUzLDE0MC42NywxNy4zODksMTcuMzg5LDE3NDE5MzYxODI=	X31	362e353735332c3134302e36372c31372e3338392c31372e3338392c31373431393336313832	6.5753	140.67	17.389	17.389	1741936182
2025-03-14T06:31:02.870199422Z	lemmingponsel	2	262	-112		0.184832s	Ni41NDY2LDE0MC43MCwxNy40MDYsMTcuNDA2LDE3NDE5MzczODY=	X31	362e353436362c3134302e37302c31372e3430362c31372e3430362c31373431393337333836	6.5466	140.70	17.406	17.406	1741937386
2025-03-14T06:51:07.287484038Z	lemmingponsel	2	263	-109		0.184832s	Ni41MzU4LDE0MC41NywxNy4zOTQsMTcuMzk0LDE3NDE5Mzg1OTE=	X31	362e353335382c3134302e35372c31372e3339342c31372e3339342c31373431393338353931	6.5358	140.57	17.394	17.394	1741938591
2025-03-14T07:11:11.930780275Z	lemmingponsel	2	264	-110		0.184832s	Ni41MDgzLDE0MC42MCwxNy40MDksMTcuNDA5LDE3NDE5Mzk3OTU=	X31	362e353038332c3134302e36302c31372e3430392c31372e3430392c31373431393339373935	6.5083	140.60	17.409	17.409	1741939795
2025-03-14T07:31:16.554698768Z	lemmingponsel	2	265	-111		0.184832s	Ni41MDI4LDE0MC44MiwxNy40NDAsMTcuNDQwLDE3NDE5NDEwMDA=	X31	362e353032382c3134302e38322c31372e3434302c31372e3434302c31373431393431303030	6.5028	140.82	17.440	17.440	1741941000
2025-03-14T07:51:21.804761813Z	lemmingponsel	2	266	-114		0.184832s	Ni41MjI2LDE0MS41MywxNy41MTksMTcuNTE5LDE3NDE5NDIyMDU=	X31	362e353232362c3134312e35332c31372e3531392c31372e3531392c31373431393432323035	6.5226	141.53	17.519	17.519	1741942205
2025-03-14T08:11:27.025591576Z	lemmingponsel	2	267	-109		0.184832s	Ni40OTM5LDE0Mi41NiwxNy42NTksMTcuNjU5LDE3NDE5NDM0MTA=	X31	362e343933392c3134322e35362c31372e3635392c31372e3635392c31373431393433343130	6.4939	142.56	17.659	17.659	1741943410
2025-03-14T08:31:31.539049457Z	lemmingponsel	2	268	-109		0.184832s	Ni40NzI1LDE0My4xNywxNy43NDQsMTcuNzQ0LDE3NDE5NDQ2MTU=	X31	362e343732352c3134332e31372c31372e3734342c31372e3734342c31373431393434363135	6.4725	143.17	17.744	17.744	1741944615
2025-03-14T08:51:36.794233672Z	lemmingponsel	2	269	-111		0.184832s	Ni41ODA2LDE0NC4wOSwxNy44MTAsMTcuODEwLDE3NDE5NDU4MjA=	X31	362e353830362c3134342e30392c31372e3831302c31372e3831302c31373431393435383230	6.5806	144.09	17.810	17.810	1741945820
2025-03-14T09:11:41.743883724Z	lemmingponsel	2	270	-113		0.184832s	Ni42NjA4LDE0NS40MywxNy45MzksMTcuOTM5LDE3NDE5NDcwMjU=	X31	362e363630382c3134352e34332c31372e3933392c31372e3933392c31373431393437303235	6.6608	145.43	17.939	17.939	1741947025
